budget,genres,id,original_language,original_title,popularity,production_countries,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count
190000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",54138,en,Star Trek Into Darkness,78.291018,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-05-05,467365246,132,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Earth Will Fall,Star Trek Into Darkness,7.4,4418
90000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",607,en,Men in Black,104.121555,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-07-02,589390539,98,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Protecting the Earth from the scum of the universe.,Men in Black,6.9,4412
170000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",119450,en,Dawn of the Planet of the Apes,243.791743,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-06-26,710644566,130,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",One last chance for peace.,Dawn of the Planet of the Apes,7.3,4410
40000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",1124,en,The Prestige,74.440708,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-10-19,109676311,130,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Are You Watching Closely?,The Prestige,8.0,4391
150000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2062,en,Ratatouille,65.677399,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-06-22,623722818,111,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",He's dying to become a chef.,Ratatouille,7.5,4369
25000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",8681,en,Taken,80.879032,"[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-02-18,226830568,93,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""sq"", ""name"": ""shqip""}]",They took his daughter.  He'll take their lives.,Taken,7.2,4369
93000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",61791,en,Rise of the Planet of the Apes,138.433168,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-08-03,482860185,105,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Evolution Becomes Revolution.,Rise of the Planet of the Apes,7.0,4347
90000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",1422,en,The Departed,63.429157,"[{""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-10-05,289847354,151,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""cn"", ""name"": ""\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71""}]",Lies. Betrayal. Sacrifice. How far will you take it?,The Departed,7.9,4339
22000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",424,en,Schindler's List,104.469351,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1993-11-29,321365567,195,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""pl"", ""name"": ""Polski""}, {""iso_639_1"": ""he"", ""name"": ""\u05e2\u05b4\u05d1\u05b0\u05e8\u05b4\u05d9\u05ea""}, {""iso_639_1"": ""en"", ""name"": ""English""}]","Whoever saves one life, saves the world entire.",Schindler's List,8.3,4329
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",558,en,Spider-Man 2,35.149586,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-06-25,783766341,127,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",There's a hero in all of us.,Spider-Man 2,6.7,4321
44000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 37, ""name"": ""Western""}]",273248,en,The Hateful Eight,68.717016,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-12-25,155760117,167,"[{""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",No one comes up here without a damn good reason.,The Hateful Eight,7.6,4274
3300000,"[{""id"": 18, ""name"": ""Drama""}]",244786,en,Whiplash,192.528841,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-10-10,13092000,105,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The road to greatness can take you to the edge.,Whiplash,8.3,4254
165000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",10191,en,How to Train Your Dragon,67.263269,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2010-03-05,494878759,98,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",One adventure will change two worlds,How to Train Your Dragon,7.5,4227
100000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",280,en,Terminator 2: Judgment Day,101.74155,"[{""iso_3166_1"": ""FR"", ""name"": ""France""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1991-07-01,520000000,137,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",It's nothing personal.,Terminator 2: Judgment Day,7.7,4185
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",102382,en,The Amazing Spider-Man 2,89.270217,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-04-16,705717432,142,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",No more secrets.,The Amazing Spider-Man 2,6.5,4179
190000000,"[{""id"": 28, ""name"": ""Action""}]",168259,en,Furious 7,102.322217,"[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-04-01,1506249360,137,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Vengeance Hits Home,Furious 7,7.3,4176
225000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",41154,en,Men in Black 3,52.035179,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-05-23,624026776,106,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",They are back... in time.,Men in Black 3,6.2,4160
6400000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",218,en,The Terminator,74.234793,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1984-10-26,78371200,108,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Your future is in his hands.,The Terminator,7.3,4128
113000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",1895,en,Star Wars: Episode III - Revenge of the Sith,44.108427,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-05-17,850000000,140,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The saga is complete.,Star Wars: Episode III - Revenge of the Sith,7.1,4116
75000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",36657,en,X-Men,4.66891,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-07-13,296339527,104,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Evolution Begins,X-Men,6.8,4097
23000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 18, ""name"": ""Drama""}]",152601,en,Her,53.682367,"[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-12-18,47351251,126,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",A Spike Jonze Love Story,Her,7.9,4097
42000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",64688,en,21 Jump Street,62.714026,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-03-12,201585328,109,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",They thought the streets were mean. Then they went back to high school.,21 Jump Street,6.7,4074
60000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",808,en,Shrek,67.298732,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-05-16,484409218,90,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The greatest fairy tale never told.,Shrek,7.3,4056
120000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",76170,en,The Wolverine,15.953444,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-07-23,415440673,126,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","When he's most vulnerable, he's most dangerous.",The Wolverine,6.3,4053
60000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",497,en,The Green Mile,103.698022,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-12-10,284600000,189,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Miracles do happen.,The Green Mile,8.2,4048
150000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}]",1858,en,Transformers,25.468493,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-06-27,709709780,144,"[{""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Their war. Our world.,Transformers,6.6,4040
9000000,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",77,en,Memento,60.715151,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2000-10-11,39723096,113,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Some memories are best forgotten.,Memento,8.1,4028
150000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",2080,en,X-Men Origins: Wolverine,5.954334,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-04-28,373062864,107,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Witness the Origin.,X-Men Origins: Wolverine,6.2,4021
120000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",1894,en,Star Wars: Episode II - Attack of the Clones,43.987061,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-05-15,649398328,142,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.,Star Wars: Episode II - Attack of the Clones,6.4,3992
160000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",131634,en,The Hunger Games: Mockingjay - Part 2,127.284427,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-11-18,653428261,137,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The fire will burn forever.,The Hunger Games: Mockingjay - Part 2,6.6,3984
145000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}]",56292,en,Mission: Impossible - Ghost Protocol,77.77477,"[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AE"", ""name"": ""United Arab Emirates""}]",2011-12-07,694713380,133,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""sv"", ""name"": ""svenska""}]",No Plan. No Backup. No Choice.,Mission: Impossible - Ghost Protocol,6.8,3972
30000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",393,en,Kill Bill: Vol. 2,50.622607,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-04-16,152159461,136,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""cn"", ""name"": ""\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71""}]",The bride is back for the final cut.,Kill Bill: Vol. 2,7.6,3948
28000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",562,en,Die Hard,66.169628,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1988-07-15,140767956,131,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",40 Stories. Twelve Terrorists. One Cop.,Die Hard,7.5,3948
68000000,"[{""id"": 10752, ""name"": ""War""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",228150,en,Fury,139.575085,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CN"", ""name"": ""China""}]",2014-10-15,211817906,135,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",War never ends quietly.,Fury,7.4,3946
125000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",58574,en,Sherlock Holmes: A Game of Shadows,81.499621,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-11-22,334615000,129,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The game is afoot.,Sherlock Holmes: A Game of Shadows,7.0,3886
90000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",18,en,The Fifth Element,109.528572,"[{""iso_3166_1"": ""FR"", ""name"": ""France""}]",1997-05-07,263920180,126,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""sv"", ""name"": ""svenska""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",There is no future without it.,The Fifth Element,7.3,3885
120000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",920,en,Cars,82.643036,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-06-08,461983149,117,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""yi"", ""name"": """"}]",Ahhh... it's got that new movie smell.,Cars,6.6,3877
59000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",425,en,Ice Age,99.561972,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-03-10,383257136,81,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",They came. They thawed. They conquered.,Ice Age,7.1,3857
150000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",36557,en,Casino Royale,88.935165,"[{""iso_3166_1"": ""IT"", ""name"": ""Italy""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",2006-11-14,599045960,144,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Everyone has a past. Every legend has a beginning.,Casino Royale,7.3,3855
18000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",85,en,Raiders of the Lost Ark,68.159596,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1981-06-12,389925971,115,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""he"", ""name"": ""\u05e2\u05b4\u05d1\u05b0\u05e8\u05b4\u05d9\u05ea""}, {""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""ne"", ""name"": """"}]",Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,Raiders of the Lost Ark,7.7,3854
15000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",129,ja,千と千尋の神隠し,118.968562,"[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}]",2001-07-20,274925095,125,"[{""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",The tunnel led Chihiro to a mysterious town...,Spirited Away,8.3,3840
110000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",262500,en,Insurgent,103.718387,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-03-18,295238201,119,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",One Choice Can Destroy You,Insurgent,6.2,3829
40000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",165,en,Back to the Future Part II,43.345252,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1989-11-20,332000000,108,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Roads? Where we're going, we don't need roads!",Back to the Future Part II,7.4,3829
90000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",863,en,Toy Story 2,73.575118,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-10-30,497366869,92,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The toys are back!,Toy Story 2,7.3,3806
52000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",640,en,Catch Me If You Can,73.944049,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-12-25,352114312,141,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",The true story of a real fake.,Catch Me If You Can,7.7,3795
120000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2048,en,"I, Robot",95.914473,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",2004-07-15,347234916,115,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Laws are made to be broken.,"I, Robot",6.7,3793
85000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",161,en,Ocean's Eleven,60.929352,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2001-12-07,450717150,116,"[{""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Are you in or out?,Ocean's Eleven,7.2,3783
105000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",64682,en,The Great Gatsby,61.196071,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AU"", ""name"": ""Australia""}]",2013-05-10,351040419,143,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,The Great Gatsby,7.3,3769
12000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",222935,en,The Fault in Our Stars,74.358971,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2014-05-16,307166834,125,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",One Sick Love Story,The Fault in Our Stars,7.6,3759
19000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",694,en,The Shining,78.699993,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",1980-05-22,44017374,144,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",A masterpiece of modern horror.,The Shining,8.1,3757
80000000,"[{""id"": 35, ""name"": ""Comedy""}]",45243,en,The Hangover Part II,58.040149,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-05-25,254455986,102,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}]",The Wolfpack Is Back,The Hangover Part II,6.2,3739
15000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",64690,en,Drive,49.294864,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2011-08-06,78054825,100,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",There are no clean getaways.,Drive,7.4,3725
1200000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",500,en,Reservoir Dogs,66.925866,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1992-09-02,14661007,99,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Every dog has his day.,Reservoir Dogs,8.0,3697
20000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",76203,en,12 Years a Slave,95.9229,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2013-10-18,187000000,134,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The extraordinary true story of Solomon Northup,12 Years a Slave,7.9,3674
20000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",38,en,Eternal Sunshine of the Spotless Mind,56.481487,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2004-03-19,72258126,108,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",You can erase someone from your mind. Getting them out of your heart is another story.,Eternal Sunshine of the Spotless Mind,7.9,3652
155000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}]",87101,en,Terminator Genisys,202.042635,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-06-23,440603537,126,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Reset the future,Terminator Genisys,5.8,3631
150000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",118,en,Charlie and the Chocolate Factory,53.905592,"[{""iso_3166_1"": ""AU"", ""name"": ""Australia""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-07-13,474968763,115,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Willy Wonka is semi-sweet and nuts.,Charlie and the Chocolate Factory,6.7,3624
20000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",162,en,Edward Scissorhands,47.51363,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1990-12-05,53000000,105,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",His scars run deep.,Edward Scissorhands,7.5,3601
